,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
0,1,2011-01-01,spring,0,1,0,0,Saturday,No,Clear,,0.2879,0.81,0.0,3.0,13.0,16.0
1,2,2011-01-01,spring,0,1,1,0,Saturday,No,Clear,0.22,0.2727,0.8,0.0,8.0,32.0,40.0
2,3,2011-01-01,spring,0,1,2,0,Saturday,No,Clear,0.22,0.2727,,,5.0,27.0,32.0
3,4,2011-01-01,spring,0,1,3,0,Saturday,No,Clear,0.24,,0.75,0.0,3.0,10.0,13.0
4,5,2011-01-01,spring,0,1,4,0,Saturday,No,Clear,0.24,0.2879,,0.0,0.0,1.0,
5,6,2011-01-01,spring,0,1,5,0,Saturday,No,Cloudy,0.24,0.2576,0.75,0.0896,0.0,1.0,1.0
6,7,2011-01-01,spring,0,1,6,0,Saturday,No,Clear,0.22,0.2727,0.8,0.0,2.0,0.0,2.0
7,8,2011-01-01,spring,0,1,7,0,Saturday,No,Clear,,0.2576,,0.0,1.0,2.0,3.0
8,9,2011-01-01,spring,0,1,8,0,Saturday,No,Clear,0.24,0.2879,0.75,0.0,1.0,7.0,8.0
9,10,2011-01-01,spring,0,1,9,0,Saturday,No,Clear,,0.3485,0.76,0.0,8.0,6.0,14.0
10,11,2011-01-01,spring,0,1,10,0,Saturday,No,Clear,0.38,0.3939,0.76,0.2537,12.0,24.0,36.0
11,12,2011-01-01,spring,0,1,11,0,Saturday,No,Clear,0.36,0.3333,0.81,0.2836,26.0,30.0,56.0
12,13,2011-01-01,spring,0,1,12,0,Saturday,No,Clear,0.42,0.4242,0.77,,,55.0,84.0
13,14,2011-01-01,spring,0,1,13,0,Saturday,No,Cloudy,0.46,0.4545,0.72,0.2985,47.0,47.0,94.0
14,15,2011-01-01,spring,0,1,14,0,Saturday,No,Cloudy,0.46,0.4545,0.72,0.2836,,71.0,106.0
15,16,2011-01-01,spring,0,1,15,0,Saturday,No,Cloudy,0.44,,0.77,0.2985,40.0,70.0,
16,17,2011-01-01,spring,0,1,16,0,Saturday,No,Cloudy,,0.4242,,0.2985,41.0,52.0,93.0
17,18,2011-01-01,spring,0,1,17,0,Saturday,No,Cloudy,0.44,0.4394,,0.2836,15.0,52.0,67.0
18,19,2011-01-01,spring,0,1,18,0,Saturday,No,Rainy,0.42,0.4242,0.88,0.2537,9.0,26.0,35.0
19,20,2011-01-01,spring,0,1,19,0,Saturday,No,Rainy,0.42,,0.88,0.2537,6.0,31.0,37.0
20,21,2011-01-01,spring,0,1,20,0,Saturday,No,Cloudy,0.4,0.4091,0.87,0.2537,11.0,25.0,36.0
21,22,2011-01-01,spring,0,1,21,0,Saturday,No,Cloudy,0.4,0.4091,0.87,0.19399999999999998,3.0,31.0,34.0
22,23,2011-01-01,spring,0,1,22,0,Saturday,No,Cloudy,,0.4091,0.94,0.2239,11.0,17.0,28.0
23,24,2011-01-01,spring,0,1,23,0,Saturday,No,Cloudy,0.46,0.4545,0.88,0.2985,15.0,24.0,39.0
24,25,2011-01-02,spring,0,1,0,0,Sunday,No,Cloudy,0.46,0.4545,0.88,0.2985,4.0,13.0,17.0
25,26,2011-01-02,spring,0,1,1,0,Sunday,No,Cloudy,0.44,0.4394,0.94,0.2537,,16.0,17.0
26,27,2011-01-02,spring,0,1,2,0,Sunday,No,Cloudy,0.42,0.4242,1.0,0.2836,1.0,8.0,9.0
27,28,2011-01-02,spring,0,1,3,0,Sunday,No,Cloudy,0.46,,0.94,0.19399999999999998,2.0,4.0,6.0
28,29,2011-01-02,spring,0,1,4,0,Sunday,No,Cloudy,0.46,0.4545,0.94,0.19399999999999998,2.0,1.0,3.0
29,30,2011-01-02,spring,0,1,6,0,Sunday,No,Rainy,0.42,,0.77,0.2985,0.0,2.0,2.0
30,31,2011-01-02,spring,0,1,7,0,Sunday,No,Cloudy,0.4,,0.76,,0.0,1.0,1.0
31,32,2011-01-02,spring,0,1,8,0,Sunday,No,Rainy,0.4,0.4091,0.71,0.2239,0.0,8.0,8.0
32,33,2011-01-02,spring,0,1,9,0,Sunday,No,Cloudy,0.38,0.3939,0.76,0.2239,1.0,19.0,20.0
33,34,2011-01-02,spring,0,1,10,0,Sunday,No,Cloudy,0.36,0.3485,0.81,0.2239,7.0,46.0,53.0
34,35,2011-01-02,spring,0,1,11,0,Sunday,No,Cloudy,,0.3333,0.71,0.2537,16.0,54.0,
35,36,2011-01-02,spring,0,1,12,0,Sunday,No,Cloudy,0.36,0.3333,0.66,,20.0,73.0,93.0
36,37,2011-01-02,spring,0,1,13,0,Sunday,No,Cloudy,0.36,0.3485,0.66,0.1343,11.0,64.0,75.0
37,38,2011-01-02,spring,0,1,14,0,Sunday,No,Rainy,0.36,,0.76,0.19399999999999998,4.0,55.0,59.0
38,39,2011-01-02,spring,0,1,15,0,Sunday,No,Rainy,0.34,0.3333,0.81,0.1642,19.0,55.0,74.0
39,40,2011-01-02,spring,0,1,16,0,Sunday,No,Rainy,0.34,0.3333,0.71,0.1642,9.0,67.0,76.0
40,41,2011-01-02,spring,0,1,17,0,Sunday,No,Clear,0.34,0.3333,0.57,0.19399999999999998,7.0,58.0,65.0
41,42,2011-01-02,spring,0,1,18,0,Sunday,No,Cloudy,0.36,0.3333,0.46,0.3284,10.0,43.0,53.0
42,43,2011-01-02,spring,0,1,19,0,Sunday,No,Clear,0.32,,0.42,0.4478,1.0,29.0,
43,44,2011-01-02,spring,0,1,20,0,Sunday,No,Clear,0.3,0.2727,0.39,,5.0,17.0,22.0
44,45,2011-01-02,spring,0,1,21,0,Sunday,No,Clear,0.26,0.2273,0.44,0.3284,11.0,20.0,31.0
45,46,2011-01-02,spring,0,1,22,0,Sunday,No,Clear,0.24,,,0.2985,0.0,9.0,9.0
46,47,2011-01-02,spring,0,1,23,0,Sunday,No,Clear,,0.2273,,0.1642,0.0,8.0,8.0
47,48,2011-01-03,spring,0,1,0,0,Monday,Yes,Clear,0.22,0.19699999999999998,0.44,0.3582,0.0,5.0,5.0
48,49,2011-01-03,spring,0,1,1,0,Monday,Yes,Clear,0.2,0.1667,0.44,0.4179,0.0,2.0,2.0
49,50,2011-01-03,spring,0,1,4,0,Monday,Yes,Clear,0.16,0.1364,0.47,0.3881,0.0,1.0,1.0
50,51,2011-01-03,spring,0,1,5,0,Monday,Yes,Clear,,,0.47,0.2836,0.0,3.0,3.0
51,52,2011-01-03,spring,0,1,6,0,Monday,Yes,Clear,0.14,0.1061,0.5,0.3881,0.0,30.0,30.0
52,53,2011-01-03,spring,0,1,7,0,Monday,Yes,Clear,0.14,,,0.19399999999999998,1.0,63.0,64.0
53,54,2011-01-03,spring,0,1,8,0,Monday,Yes,Clear,0.14,0.1212,0.5,0.2836,1.0,153.0,154.0
54,55,2011-01-03,spring,0,1,9,0,Monday,Yes,Clear,0.16,0.1364,0.43,0.3881,7.0,81.0,88.0
55,56,2011-01-03,spring,0,1,10,0,Monday,Yes,Clear,0.18,0.1667,0.43,0.2537,11.0,33.0,44.0
56,57,2011-01-03,spring,0,1,11,0,Monday,Yes,Clear,0.2,0.1818,0.4,0.3284,10.0,41.0,51.0
57,58,2011-01-03,spring,0,1,12,0,Monday,Yes,Clear,,0.2121,0.35,0.2985,13.0,48.0,61.0
58,59,2011-01-03,spring,0,1,13,0,Monday,Yes,Clear,0.24,0.2121,0.35,0.2836,8.0,53.0,61.0
59,60,2011-01-03,spring,0,1,14,0,Monday,Yes,Clear,0.26,0.2424,0.3,0.2836,11.0,66.0,77.0
60,61,2011-01-03,spring,0,1,15,0,Monday,Yes,,0.26,0.2424,0.3,0.2537,14.0,58.0,72.0
61,62,2011-01-03,spring,0,1,16,0,Monday,Yes,,,0.2424,0.3,0.2537,,67.0,76.0
62,63,2011-01-03,spring,0,1,17,0,Monday,Yes,Clear,0.24,0.2273,0.3,0.2239,11.0,146.0,
63,64,2011-01-03,spring,0,1,18,0,Monday,Yes,Clear,0.24,0.2576,0.32,0.1045,9.0,148.0,157.0
64,65,2011-01-03,spring,0,1,19,0,Monday,Yes,Clear,0.2,0.2576,0.47,0.0,8.0,102.0,110.0
65,66,2011-01-03,spring,0,1,20,0,Monday,Yes,Clear,0.2,0.2273,0.47,0.1045,3.0,49.0,52.0
66,67,2011-01-03,spring,0,1,21,0,Monday,Yes,Clear,0.18,0.19699999999999998,0.64,0.1343,3.0,49.0,52.0
67,68,2011-01-03,spring,0,1,22,0,Monday,Yes,Clear,,,,0.1343,0.0,20.0,20.0
68,69,2011-01-03,spring,0,1,23,0,Monday,Yes,Clear,0.18,,,0.1045,1.0,11.0,12.0
69,70,2011-01-04,spring,0,1,0,0,Tuesday,Yes,Clear,0.16,0.1818,0.55,0.1045,0.0,5.0,5.0
70,71,2011-01-04,spring,0,1,1,0,Tuesday,Yes,Clear,0.16,0.1818,0.59,0.1045,,2.0,
71,72,2011-01-04,spring,0,1,2,0,Tuesday,Yes,Clear,0.14,0.1515,0.63,0.1343,0.0,1.0,1.0
72,73,2011-01-04,spring,0,1,4,0,Tuesday,Yes,Clear,,0.1818,0.63,0.0896,0.0,2.0,
73,74,2011-01-04,spring,0,1,5,0,Tuesday,Yes,Clear,0.12,,0.68,0.1045,0.0,4.0,4.0
74,75,2011-01-04,spring,0,1,6,0,Tuesday,Yes,Clear,0.12,0.1515,0.74,0.1045,0.0,36.0,36.0
75,76,2011-01-04,spring,0,1,7,0,Tuesday,Yes,Clear,0.12,0.1515,0.74,0.1343,2.0,92.0,94.0
76,77,2011-01-04,spring,0,1,8,0,Tuesday,Yes,Clear,0.14,0.1515,0.69,,2.0,177.0,179.0
77,78,2011-01-04,spring,0,1,9,0,Tuesday,Yes,Clear,0.16,0.1515,0.64,,2.0,98.0,100.0
78,79,2011-01-04,spring,0,1,10,0,Tuesday,Yes,Cloudy,0.16,0.1364,0.69,0.3284,5.0,37.0,42.0
79,80,2011-01-04,spring,0,1,11,0,Tuesday,Yes,Clear,0.22,,0.51,0.2985,7.0,50.0,57.0
80,81,2011-01-04,spring,0,1,12,0,Tuesday,Yes,Clear,0.22,0.2273,,0.1642,12.0,66.0,78.0
81,82,2011-01-04,spring,0,1,13,0,Tuesday,Yes,Clear,0.24,0.2273,0.56,0.19399999999999998,18.0,79.0,97.0
82,83,2011-01-04,spring,0,1,14,0,Tuesday,Yes,Clear,0.26,0.2576,0.52,0.2239,9.0,54.0,63.0
83,84,2011-01-04,spring,0,1,15,0,Tuesday,Yes,Clear,0.28,0.2727,,0.2537,17.0,48.0,65.0
84,85,2011-01-04,spring,0,1,16,0,Tuesday,Yes,Clear,0.3,0.2879,0.49,0.2537,15.0,68.0,83.0
85,86,2011-01-04,spring,0,1,17,0,Tuesday,Yes,Clear,0.28,,0.48,0.2239,10.0,202.0,212.0
86,87,2011-01-04,spring,0,1,18,0,Tuesday,Yes,Clear,0.26,0.2576,0.48,0.19399999999999998,3.0,179.0,182.0
87,88,2011-01-04,spring,0,1,19,0,Tuesday,Yes,Clear,0.24,0.2576,,0.1045,2.0,110.0,112.0
88,89,2011-01-04,spring,0,1,20,0,Tuesday,Yes,Clear,0.24,0.2576,0.48,0.1045,1.0,53.0,54.0
89,90,2011-01-04,spring,0,1,21,0,Tuesday,Yes,Clear,0.22,0.2727,0.64,0.0,,48.0,48.0
90,91,2011-01-04,spring,0,1,22,0,Tuesday,Yes,Clear,0.22,0.2576,0.64,0.0896,1.0,34.0,35.0
91,92,2011-01-04,spring,0,1,23,0,Tuesday,Yes,Clear,0.2,0.2273,0.69,0.0896,2.0,9.0,
92,93,2011-01-05,spring,0,1,0,0,Wednesday,Yes,Clear,0.2,0.2576,0.64,0.0,0.0,6.0,
93,94,2011-01-05,spring,0,1,1,0,Wednesday,Yes,,0.16,0.19699999999999998,0.74,0.0896,0.0,,6.0
94,95,2011-01-05,spring,0,1,2,0,Wednesday,Yes,Clear,0.16,0.19699999999999998,,0.0896,0.0,2.0,2.0
95,96,2011-01-05,spring,0,1,4,0,Wednesday,Yes,Clear,0.24,0.2273,0.48,0.2239,0.0,2.0,2.0
96,97,2011-01-05,spring,0,1,5,0,Wednesday,Yes,Clear,0.22,0.2273,0.47,0.1642,0.0,3.0,3.0
97,98,2011-01-05,spring,0,1,6,0,Wednesday,Yes,Clear,0.2,0.19699999999999998,0.47,0.2239,0.0,33.0,33.0
98,99,2011-01-05,spring,0,1,7,0,Wednesday,Yes,Clear,0.18,0.1818,0.43,0.19399999999999998,1.0,87.0,88.0
99,100,2011-01-05,spring,0,1,8,0,Wednesday,Yes,Clear,0.2,0.1818,0.4,0.2985,3.0,192.0,195.0
100,101,2011-01-05,spring,0,1,9,0,Wednesday,Yes,,0.22,0.19699999999999998,0.37,0.3284,6.0,109.0,115.0
101,102,2011-01-05,spring,0,1,10,0,Wednesday,Yes,Clear,0.22,0.19699999999999998,0.37,0.3284,4.0,53.0,57.0
102,103,2011-01-05,spring,0,1,11,0,Wednesday,Yes,Clear,0.26,0.2273,0.33,0.3284,12.0,34.0,46.0
103,104,2011-01-05,spring,0,1,12,0,Wednesday,Yes,Clear,0.26,0.2273,0.33,0.3284,5.0,74.0,79.0
104,105,2011-01-05,spring,0,1,13,0,Wednesday,Yes,Clear,0.28,0.2576,0.3,0.2985,6.0,65.0,71.0
105,106,2011-01-05,spring,0,1,14,0,Wednesday,Yes,Clear,0.3,0.2879,0.28,0.19399999999999998,10.0,52.0,62.0
106,107,2011-01-05,spring,0,1,15,0,Wednesday,Yes,Clear,0.3,0.2879,0.28,0.19399999999999998,7.0,,62.0
107,108,2011-01-05,spring,0,1,16,0,Wednesday,Yes,Clear,0.3,0.3182,0.28,0.0896,4.0,85.0,89.0
108,109,2011-01-05,spring,0,1,17,0,Wednesday,Yes,Clear,0.24,0.2273,0.38,0.19399999999999998,4.0,186.0,190.0
109,110,2011-01-05,spring,0,1,18,0,Wednesday,Yes,Clear,0.24,,0.38,0.1343,,166.0,
110,111,2011-01-05,spring,0,1,19,0,Wednesday,Yes,Clear,0.24,0.2576,0.38,,5.0,127.0,132.0
111,112,2011-01-05,spring,0,1,20,0,Wednesday,Yes,,0.22,0.2273,0.47,0.1642,,82.0,89.0
112,113,2011-01-05,spring,0,1,21,0,Wednesday,Yes,,0.2,0.19699999999999998,0.51,0.19399999999999998,3.0,40.0,43.0
113,114,2011-01-05,spring,0,1,22,0,Wednesday,Yes,Clear,0.18,0.19699999999999998,0.55,,1.0,41.0,42.0
114,115,2011-01-05,spring,0,1,23,0,Wednesday,Yes,Clear,0.2,0.2576,0.47,0.0,1.0,18.0,19.0
115,116,2011-01-06,spring,0,1,0,0,Thursday,Yes,Clear,0.18,0.2424,0.55,0.0,0.0,11.0,11.0
116,117,2011-01-06,spring,0,1,1,0,Thursday,Yes,Clear,0.16,0.2273,0.64,0.0,0.0,4.0,4.0
117,118,2011-01-06,spring,0,1,2,0,Thursday,Yes,Clear,0.16,0.2273,,0.0,0.0,2.0,2.0
118,119,2011-01-06,spring,0,1,4,0,Thursday,Yes,Cloudy,0.16,0.19699999999999998,0.64,0.0896,0.0,1.0,1.0
119,120,2011-01-06,spring,0,1,5,0,Thursday,Yes,Cloudy,0.14,0.1818,0.69,0.0896,0.0,4.0,4.0
120,121,2011-01-06,spring,0,1,6,0,Thursday,Yes,Cloudy,0.14,0.1667,0.63,0.1045,0.0,36.0,36.0
121,122,2011-01-06,spring,0,1,7,0,Thursday,Yes,Cloudy,0.16,0.2273,0.59,0.0,0.0,95.0,95.0
