,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,casual,registered,cnt,windspeed
0,1,2011-01-01,spring,0,1,0,0,Saturday,No,Clear,0.24,0.2879,0.81,3,13,16,0.0
1,2,2011-01-01,spring,0,1,1,0,Saturday,No,Clear,0.22,0.2727,0.8,8,32,40,0.0
2,3,2011-01-01,spring,0,1,2,0,Saturday,No,Clear,0.22,0.2727,0.8,5,27,32,0.0
3,4,2011-01-01,spring,0,1,3,0,Saturday,No,Clear,0.24,0.2879,0.75,3,10,13,0.0
4,5,2011-01-01,spring,0,1,4,0,Saturday,No,Clear,0.24,0.2879,0.75,0,1,1,0.0
5,6,2011-01-01,spring,0,1,5,0,Saturday,No,Cloudy,0.24,0.2576,0.75,0,1,1,0.0896
6,7,2011-01-01,spring,0,1,6,0,Saturday,No,Clear,0.22,0.2727,0.8,2,0,2,0.0
7,8,2011-01-01,spring,0,1,7,0,Saturday,No,Clear,0.2,0.2576,0.86,1,2,3,0.0
8,9,2011-01-01,spring,0,1,8,0,Saturday,No,Clear,0.24,0.2879,0.75,1,7,8,0.0
9,10,2011-01-01,spring,0,1,9,0,Saturday,No,Clear,0.32,0.3485,0.76,8,6,14,0.0
10,11,2011-01-01,spring,0,1,10,0,Saturday,No,Clear,0.38,0.3939,0.76,12,24,36,0.2537
11,12,2011-01-01,spring,0,1,11,0,Saturday,No,Clear,0.36,0.3333,0.81,26,30,56,0.2836
12,13,2011-01-01,spring,0,1,12,0,Saturday,No,Clear,0.42,0.4242,0.77,29,55,84,0.2836
13,14,2011-01-01,spring,0,1,13,0,Saturday,No,Cloudy,0.46,0.4545,0.72,47,47,94,0.2985
14,15,2011-01-01,spring,0,1,14,0,Saturday,No,Cloudy,0.46,0.4545,0.72,35,71,106,0.2836
15,16,2011-01-01,spring,0,1,15,0,Saturday,No,Cloudy,0.44,0.4394,0.77,40,70,110,0.2985
16,17,2011-01-01,spring,0,1,16,0,Saturday,No,Cloudy,0.42,0.4242,0.82,41,52,93,0.2985
17,18,2011-01-01,spring,0,1,17,0,Saturday,No,Cloudy,0.44,0.4394,0.82,15,52,67,0.2836
18,19,2011-01-01,spring,0,1,18,0,Saturday,No,Rainy,0.42,0.4242,0.88,9,26,35,0.2537
19,20,2011-01-01,spring,0,1,19,0,Saturday,No,Rainy,0.42,0.4242,0.88,6,31,37,0.2537
20,21,2011-01-01,spring,0,1,20,0,Saturday,No,Cloudy,0.4,0.4091,0.87,11,25,36,0.2537
21,22,2011-01-01,spring,0,1,21,0,Saturday,No,Cloudy,0.4,0.4091,0.87,3,31,34,0.19399999999999998
22,23,2011-01-01,spring,0,1,22,0,Saturday,No,Cloudy,0.4,0.4091,0.94,11,17,28,0.2239
23,24,2011-01-01,spring,0,1,23,0,Saturday,No,Cloudy,0.46,0.4545,0.88,15,24,39,0.2985
24,25,2011-01-02,spring,0,1,0,0,Sunday,No,Cloudy,0.46,0.4545,0.88,4,13,17,0.2985
25,26,2011-01-02,spring,0,1,1,0,Sunday,No,Cloudy,0.44,0.4394,0.94,1,16,17,0.2537
26,27,2011-01-02,spring,0,1,2,0,Sunday,No,Cloudy,0.42,0.4242,1.0,1,8,9,0.2836
27,28,2011-01-02,spring,0,1,3,0,Sunday,No,Cloudy,0.46,0.4545,0.94,2,4,6,0.19399999999999998
28,29,2011-01-02,spring,0,1,4,0,Sunday,No,Cloudy,0.46,0.4545,0.94,2,1,3,0.19399999999999998
29,30,2011-01-02,spring,0,1,6,0,Sunday,No,Rainy,0.42,0.4242,0.77,0,2,2,0.2985
30,31,2011-01-02,spring,0,1,7,0,Sunday,No,Cloudy,0.4,0.4091,0.76,0,1,1,0.19399999999999998
31,32,2011-01-02,spring,0,1,8,0,Sunday,No,Rainy,0.4,0.4091,0.71,0,8,8,0.2239
32,33,2011-01-02,spring,0,1,9,0,Sunday,No,Cloudy,0.38,0.3939,0.76,1,19,20,0.2239
33,34,2011-01-02,spring,0,1,10,0,Sunday,No,Cloudy,0.36,0.3485,0.81,7,46,53,0.2239
34,35,2011-01-02,spring,0,1,11,0,Sunday,No,Cloudy,0.36,0.3333,0.71,16,54,70,0.2537
35,36,2011-01-02,spring,0,1,12,0,Sunday,No,Cloudy,0.36,0.3333,0.66,20,73,93,0.2985
36,37,2011-01-02,spring,0,1,13,0,Sunday,No,Cloudy,0.36,0.3485,0.66,11,64,75,0.1343
37,38,2011-01-02,spring,0,1,14,0,Sunday,No,Rainy,0.36,0.3485,0.76,4,55,59,0.19399999999999998
38,39,2011-01-02,spring,0,1,15,0,Sunday,No,Rainy,0.34,0.3333,0.81,19,55,74,0.1642
39,40,2011-01-02,spring,0,1,16,0,Sunday,No,Rainy,0.34,0.3333,0.71,9,67,76,0.1642
40,41,2011-01-02,spring,0,1,17,0,Sunday,No,Clear,0.34,0.3333,0.57,7,58,65,0.19399999999999998
41,42,2011-01-02,spring,0,1,18,0,Sunday,No,Cloudy,0.36,0.3333,0.46,10,43,53,0.3284
42,43,2011-01-02,spring,0,1,19,0,Sunday,No,Clear,0.32,0.2879,0.42,1,29,30,0.4478
43,44,2011-01-02,spring,0,1,20,0,Sunday,No,Clear,0.3,0.2727,0.39,5,17,22,0.3582
44,45,2011-01-02,spring,0,1,21,0,Sunday,No,Clear,0.26,0.2273,0.44,11,20,31,0.3284
45,46,2011-01-02,spring,0,1,22,0,Sunday,No,Clear,0.24,0.2121,0.44,0,9,9,0.2985
46,47,2011-01-02,spring,0,1,23,0,Sunday,No,Clear,0.22,0.2273,0.47,0,8,8,0.1642
47,48,2011-01-03,spring,0,1,0,0,Monday,Yes,Clear,0.22,0.19699999999999998,0.44,0,5,5,0.3582
48,49,2011-01-03,spring,0,1,1,0,Monday,Yes,Clear,0.2,0.1667,0.44,0,2,2,0.4179
49,50,2011-01-03,spring,0,1,4,0,Monday,Yes,Clear,0.16,0.1364,0.47,0,1,1,0.3881
50,51,2011-01-03,spring,0,1,5,0,Monday,Yes,Clear,0.16,0.1364,0.47,0,3,3,0.2836
51,52,2011-01-03,spring,0,1,6,0,Monday,Yes,Clear,0.14,0.1061,0.5,0,30,30,0.3881
52,53,2011-01-03,spring,0,1,7,0,Monday,Yes,Clear,0.14,0.1364,0.5,1,63,64,0.19399999999999998
53,54,2011-01-03,spring,0,1,8,0,Monday,Yes,Clear,0.14,0.1212,0.5,1,153,154,0.2836
54,55,2011-01-03,spring,0,1,9,0,Monday,Yes,Clear,0.16,0.1364,0.43,7,81,88,0.3881
55,56,2011-01-03,spring,0,1,10,0,Monday,Yes,Clear,0.18,0.1667,0.43,11,33,44,0.2537
56,57,2011-01-03,spring,0,1,11,0,Monday,Yes,Clear,0.2,0.1818,0.4,10,41,51,0.3284
57,58,2011-01-03,spring,0,1,12,0,Monday,Yes,Clear,0.22,0.2121,0.35,13,48,61,0.2985
58,59,2011-01-03,spring,0,1,13,0,Monday,Yes,Clear,0.24,0.2121,0.35,8,53,61,0.2836
59,60,2011-01-03,spring,0,1,14,0,Monday,Yes,Clear,0.26,0.2424,0.3,11,66,77,0.2836
60,61,2011-01-03,spring,0,1,15,0,Monday,Yes,Clear,0.26,0.2424,0.3,14,58,72,0.2537
61,62,2011-01-03,spring,0,1,16,0,Monday,Yes,Clear,0.26,0.2424,0.3,9,67,76,0.2537
62,63,2011-01-03,spring,0,1,17,0,Monday,Yes,Clear,0.24,0.2273,0.3,11,146,157,0.2239
63,64,2011-01-03,spring,0,1,18,0,Monday,Yes,Clear,0.24,0.2576,0.32,9,148,157,0.1045
64,65,2011-01-03,spring,0,1,19,0,Monday,Yes,Clear,0.2,0.2576,0.47,8,102,110,0.0
65,66,2011-01-03,spring,0,1,20,0,Monday,Yes,Clear,0.2,0.2273,0.47,3,49,52,0.1045
66,67,2011-01-03,spring,0,1,21,0,Monday,Yes,Clear,0.18,0.19699999999999998,0.64,3,49,52,0.1343
67,68,2011-01-03,spring,0,1,22,0,Monday,Yes,Clear,0.14,0.1515,0.69,0,20,20,0.1343
68,69,2011-01-03,spring,0,1,23,0,Monday,Yes,Clear,0.18,0.2121,0.55,1,11,12,0.1045
69,70,2011-01-04,spring,0,1,0,0,Tuesday,Yes,Clear,0.16,0.1818,0.55,0,5,5,0.1045
70,71,2011-01-04,spring,0,1,1,0,Tuesday,Yes,Clear,0.16,0.1818,0.59,0,2,2,0.1045
71,72,2011-01-04,spring,0,1,2,0,Tuesday,Yes,Clear,0.14,0.1515,0.63,0,1,1,0.1343
72,73,2011-01-04,spring,0,1,4,0,Tuesday,Yes,Clear,0.14,0.1818,0.63,0,2,2,0.0896
73,74,2011-01-04,spring,0,1,5,0,Tuesday,Yes,Clear,0.12,0.1515,0.68,0,4,4,0.1045
74,75,2011-01-04,spring,0,1,6,0,Tuesday,Yes,Clear,0.12,0.1515,0.74,0,36,36,0.1045
75,76,2011-01-04,spring,0,1,7,0,Tuesday,Yes,Clear,0.12,0.1515,0.74,2,92,94,0.1343
76,77,2011-01-04,spring,0,1,8,0,Tuesday,Yes,Clear,0.14,0.1515,0.69,2,177,179,0.1642
77,78,2011-01-04,spring,0,1,9,0,Tuesday,Yes,Clear,0.16,0.1515,0.64,2,98,100,0.2239
78,79,2011-01-04,spring,0,1,10,0,Tuesday,Yes,Cloudy,0.16,0.1364,0.69,5,37,42,0.3284
79,80,2011-01-04,spring,0,1,11,0,Tuesday,Yes,Clear,0.22,0.2121,0.51,7,50,57,0.2985
80,81,2011-01-04,spring,0,1,12,0,Tuesday,Yes,Clear,0.22,0.2273,0.51,12,66,78,0.1642
81,82,2011-01-04,spring,0,1,13,0,Tuesday,Yes,Clear,0.24,0.2273,0.56,18,79,97,0.19399999999999998
82,83,2011-01-04,spring,0,1,14,0,Tuesday,Yes,Clear,0.26,0.2576,0.52,9,54,63,0.2239
83,84,2011-01-04,spring,0,1,15,0,Tuesday,Yes,Clear,0.28,0.2727,0.52,17,48,65,0.2537
84,85,2011-01-04,spring,0,1,16,0,Tuesday,Yes,Clear,0.3,0.2879,0.49,15,68,83,0.2537
85,86,2011-01-04,spring,0,1,17,0,Tuesday,Yes,Clear,0.28,0.2727,0.48,10,202,212,0.2239
86,87,2011-01-04,spring,0,1,18,0,Tuesday,Yes,Clear,0.26,0.2576,0.48,3,179,182,0.19399999999999998
87,88,2011-01-04,spring,0,1,19,0,Tuesday,Yes,Clear,0.24,0.2576,0.48,2,110,112,0.1045
88,89,2011-01-04,spring,0,1,20,0,Tuesday,Yes,Clear,0.24,0.2576,0.48,1,53,54,0.1045
89,90,2011-01-04,spring,0,1,21,0,Tuesday,Yes,Clear,0.22,0.2727,0.64,0,48,48,0.0
90,91,2011-01-04,spring,0,1,22,0,Tuesday,Yes,Clear,0.22,0.2576,0.64,1,34,35,0.0896
91,92,2011-01-04,spring,0,1,23,0,Tuesday,Yes,Clear,0.2,0.2273,0.69,2,9,11,0.0896
92,93,2011-01-05,spring,0,1,0,0,Wednesday,Yes,Clear,0.2,0.2576,0.64,0,6,6,0.0
93,94,2011-01-05,spring,0,1,1,0,Wednesday,Yes,Clear,0.16,0.19699999999999998,0.74,0,6,6,0.0896
94,95,2011-01-05,spring,0,1,2,0,Wednesday,Yes,Clear,0.16,0.19699999999999998,0.74,0,2,2,0.0896
95,96,2011-01-05,spring,0,1,4,0,Wednesday,Yes,Clear,0.24,0.2273,0.48,0,2,2,0.2239
96,97,2011-01-05,spring,0,1,5,0,Wednesday,Yes,Clear,0.22,0.2273,0.47,0,3,3,0.1642
97,98,2011-01-05,spring,0,1,6,0,Wednesday,Yes,Clear,0.2,0.19699999999999998,0.47,0,33,33,0.2239
98,99,2011-01-05,spring,0,1,7,0,Wednesday,Yes,Clear,0.18,0.1818,0.43,1,87,88,0.19399999999999998
99,100,2011-01-05,spring,0,1,8,0,Wednesday,Yes,Clear,0.2,0.1818,0.4,3,192,195,0.2985
